"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","169","169","169"
"24576","180","180","180"
"36864","187","187","187"
"49152","140","140","140"
"61440","109","109","109"
"73728","77","77","77"
"86016","56","56","56"
"98304","53","53","53"
"110592","38","38","38"
"122880","21","21","21"
"135168","18","18","18"
"147456","26","26","26"
"159744","15","15","15"
"172032","18","18","18"
"184320","12","12","12"
"196608","5","5","5"
"208896","8","8","8"
"221184","8","8","8"
"233472","3","3","3"
"245760","6","6","6"
"258048","13","13","13"
"270336","11","11","11"
"282624","10","10","10"
"294912","15","15","15"
"307200","13","13","13"
"319488","13","13","13"
"331776","15","15","15"
"344064","12","12","12"
"356352","18","18","18"
"368640","13","13","13"
"380928","14","14","14"
"393216","11","11","11"
"405504","11","11","11"
"417792","8","8","8"
"430080","9","9","9"
"442368","14","14","14"
"454656","14","14","14"
"466944","12","12","12"
"479232","16","16","16"
"491520","19","19","19"
"503808","8","8","8"
"516096","15","15","15"
"528384","17","17","17"
"540672","17","17","17"
"552960","8","8","8"
"565248","10","10","10"
"577536","11","11","11"
"589824","11","11","11"
"602112","12","12","12"
"614400","11","11","11"
"626688","9","9","9"
"638976","12","12","12"
"651264","11","11","11"
"663552","10","10","10"
"675840","19","19","19"
"688128","7","7","7"
"700416","11","11","11"
"712704","14","14","14"
"724992","11","11","11"
"737280","14","14","14"
"749568","7","7","7"
"761856","10","10","10"
"774144","10","10","10"
"786432","14","14","14"
"798720","10","10","10"
"811008","13","13","13"
"823296","11","11","11"
"835584","7","7","7"
"847872","11","11","11"
"860160","16","16","16"
"872448","13","13","13"
"884736","14","14","14"
"897024","11","11","11"
"909312","8","8","8"
"921600","5","5","5"
"933888","7","7","7"
"946176","11","11","11"
"958464","13","13","13"
"970752","9","9","9"
"983040","7","7","7"
"995328","9","9","9"
"1007616","7","7","7"
"1019904","12","12","12"
"1032192","13","13","13"
"1044480","12","12","12"
"1056768","11","11","11"
"1069056","12","12","12"
"1081344","6","6","6"
"1093632","9","9","9"
"1105920","15","15","15"
"1118208","15","15","15"
"1130496","13","13","13"
"1142784","11","11","11"
"1155072","11","11","11"
"1167360","12","12","12"
"1179648","7","7","7"
"1191936","7","7","7"
"1204224","3","3","3"
"1216512","6","6","6"
"1228800","8","8","8"
"1241088","12","12","12"
"1253376","8","8","8"
"1265664","15","15","15"
"1277952","11","11","11"
"1290240","9","9","9"
"1302528","7","7","7"
"1314816","17","17","17"
"1327104","10","10","10"
"1339392","16","16","16"
"1351680","7","7","7"
"1363968","8","8","8"
"1376256","17","17","17"
"1388544","15","15","15"
"1400832","8","8","8"
"1413120","8","8","8"
"1425408","13","13","13"
"1437696","10","10","10"
"1449984","11","11","11"
"1462272","14","14","14"
"1474560","9","9","9"
"1486848","15","15","15"
"1499136","13","13","13"
"1511424","6","6","6"
"1523712","5","5","5"
"1536000","19","19","19"
"1548288","9","9","9"
"1560576","8","8","8"
"1572864","10","10","10"
"1585152","15","15","15"
"1597440","17","17","17"
"1609728","12","12","12"
"1622016","7","7","7"
"1634304","10","10","10"
"1646592","8","8","8"
"1658880","13","13","13"
"1671168","18","18","18"
"1683456","11","11","11"
"1695744","7","7","7"
"1708032","6","6","6"
"1720320","8","8","8"
"1732608","13","13","13"
"1744896","10","10","10"
"1757184","12","12","12"
"1769472","14","14","14"
"1781760","12","12","12"
"1794048","11","11","11"
"1806336","14","14","14"
"1818624","12","12","12"
"1830912","8","8","8"
"1843200","10","10","10"
"1855488","11","11","11"
"1867776","6","6","6"
"1880064","10","10","10"
"1892352","12","12","12"
"1904640","9","9","9"
"1916928","7","7","7"
"1929216","13","13","13"
"1941504","6","6","6"
"1953792","11","11","11"
"1966080","16","16","16"
"1978368","9","9","9"
"1990656","14","14","14"
"2002944","14","14","14"
"2015232","17","17","17"
"2027520","3","3","3"
"2039808","7","7","7"
"2052096","8","8","8"
"2064384","8","8","8"
"2076672","18","18","18"
"2088960","8","8","8"
"2101248","18","18","18"
"2113536","11","11","11"
